Crop,Gross Production Value (constant 2004-2006 1000 I$),Net Production Value (constant 2004-2006 1000 I$),Gross Production Value (current million SLC),Gross Production Value (constant 2004-2006 million SLC),Gross Production Value (current million US$),Gross Production Value (constant 2004-2006 million US$)
Barley,158246.06,135396.91853599998,12002.6515,9966.399333,290.27998199999996,222.01924
Barley,142778.4,119826.579449,11826.96,8992.24,271.851745,200.31811100000002
Barley,200972.4962,173974.332224,18390.768781,12657.327153,379.933219,281.96443500000004
Barley,161184.9154,136584.732499,17365.018744999998,10151.489607,379.764031,226.14245400000001
Barley,197855.1678,169046.59869800002,23244.697989,12460.996579999999,498.06011500000005,277.590822
Barley,192750.84,163889.817683,24572.078999999998,12139.524,459.83067400000004,270.42945
Barley,208218.5,179878.77233,25393.1475,13113.683332999999,433.346095,292.130579
Barley,217737.06,188534.364546,28782.4413,13713.166000000001,471.615112,305.485119
Barley,191917.96600000001,162715.270546,26899.46871,12087.069267,419.308704,269.260928
Barley,179067.91,149865.214546,26255.88385,11277.767667,390.739811,251.232298
"Groundnuts, with shell",4142620.5975,3947932.9938510004,142328.75,138961.833333,3442.171669,3095.0101059999997
"Groundnuts, with shell",3233838.1383,3060858.633525,150530.1,108477.24666700001,3460.04978,2416.045951
"Groundnuts, with shell",2449029.7755,2263970.9169,125936.585775,82151.3,2601.7124670000003,1829.7045859999998
"Groundnuts, with shell",3728696.895,3561007.0419,225736.986,125077.0,4936.751815,2785.761887
"Groundnuts, with shell",3141759.852,2991123.2043,207416.95988,105388.533333,4444.287248,2347.252968
"Groundnuts, with shell",2118116.385,1952321.3325,151736.5782,71051.0,2839.529084,1582.4745380000002
"Groundnuts, with shell",4273226.496,4125274.14915,292851.79136,143342.933333,4997.654594,3192.58761
"Groundnuts, with shell",3339360.486,3191408.13915,248058.11862,112016.933333,4064.559923,2494.8831809999997
"Groundnuts, with shell",3054689.253,2906736.90615,240596.85453,102467.8,3750.4218549999996,2282.201299
"Groundnuts, with shell",3093487.5510000004,2945535.20415,254889.56969,103769.26666699999,3793.2641289999997,2311.1880530000003
Maize,2685316.7410000004,1832744.2291330001,152279.15367,121759.380053,3682.818746,2708.77228
Maize,2795248.7810000004,1911511.401366,165743.76,126743.99018699999,3809.747421,2819.664548
Maize,2368567.9675,1575912.061057,155151.27537000002,107397.150933,3205.256082,2389.256789
Maize,3077785.457,2017330.141425,237353.49596799997,139554.952107,5190.798914999999,3104.6691079999996
Maize,3082630.4,2021590.95713,259241.4592,139774.634667,5554.721813,3109.55637
Maize,3153462.9,2060371.821713,287766.3726,142986.36800000002,5385.128583,3181.007573
Maize,3436723.48415,2302147.142264,300018.815741,155830.153835,5119.963261999999,3466.742365
Maize,3424043.05,2273514.270042,323997.1581,155255.189333,5308.860163,3453.9511700000003
Maize,3197379.05,2046850.2700419999,320795.9866,144977.642667,5000.565286999999,3225.307319
Maize,3720122.9,2569594.120042,390456.7888,168680.234667,5810.774182,3752.6172
Millet,2299490.504,2202607.977432,95026.58955,72002.9168,2298.185253,1603.256349
Millet,2063390.3664,1970483.4613169997,95523.12,64610.018879999996,2195.6721629999997,1438.6420380000002
Millet,1592532.8064,1498509.5737059999,81445.71988799999,49866.26688,1682.579717,1110.349588
Millet,2411988.264,2305609.4930490004,145225.49328,75525.5088,3176.006867,1681.6923100000001
Millet,2297131.68,2201653.7424,150827.0622,71929.056,3231.745319,1601.611724
Millet,1950566.0,1861475.032,138970.7325,61077.2,2600.634873,1359.97836
Millet,1979597.68,1891537.33664,134924.6246,61986.255999999994,2302.552656,1380.219898
Millet,2072136.16,1982225.04704,153084.3006,64883.872,2508.3650420000004,1444.739801
Millet,2110240.24,2020329.1270400002,165301.6094,66077.008,2576.720172,1471.3068210000001
Millet,1865285.44,1775374.3270400001,152852.0864,58406.848,2274.743282,1300.518841
Oilseeds nes,34267.2,34267.2,2017.9918,1567.5231,48.804435,34.905924
Oilseeds nes,36447.84,36447.84,2116.52415,1667.2745699999998,48.649931,37.12721
Oilseeds nes,31152.0,31152.0,1998.435,1425.021,41.285486999999996,31.732658
Oilseeds nes,33644.16,33644.16,2540.9818800000003,1539.02268,55.569967000000005,34.271271
Oilseeds nes,30528.96,30528.96,2514.37228,1396.52058,53.875018999999995,31.098005
Oilseeds nes,31775.04,31775.04,2839.70244,1453.52142,53.140896,32.367312
Oilseeds nes,30528.96,30528.96,2610.0585,1396.52058,44.541885,31.098005
Oilseeds nes,23675.52,23675.52,2193.99612,1083.01596,35.949754999999996,24.11682
Oilseeds nes,23052.48,23052.48,2265.09634,1054.51554,35.308304,23.482167
Oilseeds nes,26479.2,26479.2,2721.79095,1211.26785,40.505666999999995,26.972759999999997
"Rice, paddy",40285876.2,38528449.7847,2060968.2345,1451545.447,49843.805048,32297.326279
"Rice, paddy",41251711.76,39550606.01395,2484103.2944,1486345.588933,57099.01910700001,33071.639988
"Rice, paddy",37806635.950720005,36154700.45832,2515061.153609,1362215.63131,51958.419544,30309.710797000003
"Rice, paddy",40116731.80928,38394610.22268,3141910.5906849997,1445450.98429,68711.969125,32161.722636000002
"Rice, paddy",44000414.0,42226952.095,3757947.3660000004,1585384.423333,80520.886856,35275.28408
"Rice, paddy",43972548.0,42174564.009427,4075161.33,1584380.38,76260.70954299999,35252.943811000005
"Rice, paddy",44362672.0,42558870.976353996,3933077.392,1598436.986667,67119.829476,35565.707571
"Rice, paddy",43805352.0,42012696.263385996,4209592.776000001,1578356.12,68976.343875,35118.9022
"Rice, paddy",43621436.4,41828780.663386,4444732.5786,1571729.4340000001,69284.45607999999,34971.456427
"Rice, paddy",44239189.79362,42446534.057006,4715564.877597,1593987.7838350001,70176.99123,35466.711459
Sorghum,1099821.6432,1050799.755802,58443.4884,45626.8712,1413.435585,1015.5417130000001
